Gene.symbol	Gene.ID	adj.P.Val	logFC
KIAA0101	9768	3.36154922581136e-38	4.55913523978118
TYMS	7298	1.52042670156446e-31	3.67035228143311
DTL	51514	1.52042670156446e-31	3.67921774278912
PRC1	9055	2.27582879489647e-30	3.08009678542631
CBX7	23492	1.95673148963945e-29	-2.24007964966893
MYB///MYB	4602///4602	5.52143013604945e-27	3.59896533199547
NCAPG	64151	1.25497913958309e-26	3.22796342043764
TPX2	22974	1.25497913958309e-26	3.15641491614173
MAMDC2	256691	1.25877565206376e-26	4.03101040741497
KCNK5	8645	2.1767448073556e-25	2.53546041605783
TOP2A	7153	2.71037654883651e-25	3.29810352836282
CHEK1	1111	1.66261679904274e-24	2.94682724253968
SCCPDH	51097	2.60608035052604e-24	2.83305394852834
FLT3	2322	1.61784719780406e-23	5.2500645271644
BUB1B	701	1.97932947014371e-23	2.75655355297846
STK38	11329	3.34635095812206e-23	-1.8804326870068
ECRP///ECRP	643332///643332	5.69498467932858e-23	4.55318219877211
CDC45	8318	1.15481229598706e-22	2.28750067397506
ZBP1	81030	1.28979514485386e-22	-2.24400833257823
FANCI	55215	1.71622446140433e-22	2.54306870017461
MCM4	4173	8.09770341527865e-22	2.23452321069842
MCM10	55388	8.64674474653158e-22	2.31884765424604
POLQ	10721	1.72459070918392e-21	2.09197758109184
NRG4	145957	2.21909224522325e-21	3.4068875179161
CLSPN///CLSPN	63967///63967	2.30087343722956e-21	2.6115634559093
MKI67	4288	2.34902150374939e-21	2.77092991224377
ARHGAP11A	9824	2.50203114790889e-21	3.15486511828005
CIT	11113	3.73620134187408e-21	2.37075070203741
CPXM1	56265	3.94845155218866e-21	3.77695351746145
NUAK2	81788	5.76497048753893e-21	-2.79883463635941
MCM2	4171	7.63115011625408e-21	1.9862173143288
CENPF	1063	1.3394719474707e-20	2.82096547029252
STMN1	3925	1.38097767834544e-20	2.78817411842404
EXO1	9156	1.98760148972879e-20	2.47469098344444
HIST1H1B	3009	3.21447729412224e-20	3.6532029699263
KIF23	9493	3.79778148324016e-20	2.82172753519388
		4.05914469661842e-20	-1.37559173919161
ANLN	54443	7.2138894365907e-20	2.64104618221089
KIF11	3832	9.59298764615888e-20	2.59310933700227
NUF2	83540	9.64466126625712e-20	2.43885440219048
		1.02119076841418e-19	2.38054530960884
PCNA	5111	1.54809157359015e-19	2.09183679341837
PLK4	10733	1.94320353150176e-19	2.43962155542631
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	2.05053638231106e-19	2.33229368478231
CDK6	1021	3.00427833588495e-19	2.95157788754196
EMP1	2012	5.69012469139615e-19	3.85759896180386
IQGAP3	128239	5.90940792852526e-19	1.66969735012925
SLC44A2	57153	6.24733500605106e-19	-2.631501501839
CCDC88A	55704	6.24733500605106e-19	2.74652024237415
MINK1	50488	6.93106687123324e-19	-1.40734130251134
DEPTOR	64798	8.66038337320159e-19	3.5786581114932
CDC25A	993	9.021683415884e-19	1.79713843244785
SMC4	10051	9.0681009256153e-19	1.59853086266893
CCNB2	9133	1.02780669338909e-18	2.76990424326417
FADS2	9415	1.23750695335233e-18	3.0180668554127
COL24A1	255631	1.5114331360892e-18	2.23241663100454
SOX4	6659	2.70672682602178e-18	2.19879889168594
CDT1	81620	3.11313578383699e-18	1.71491252610091
NOCT	25819	3.14414077818355e-18	1.66469967612131
TTC9	23508	3.87765856959699e-18	-1.47383076726984
AKTIP	64400	4.05483794607045e-18	-2.53454908048866
NPR3	4883	4.05483794607045e-18	3.84670478722336
GMNN	51053	4.51408296766262e-18	1.8464840326678
CLU	1191	5.77662642802712e-18	2.87071390229365
GUCY1A3	2982	6.03063933872394e-18	4.32681910592404
CCNE2	9134	6.03063933872394e-18	2.36987354354762
HIST1H3B	8358	6.03063933872394e-18	3.20618480107483
CDCA7	83879	7.49818880212752e-18	2.44337689993424
MPO	4353	8.73352227462239e-18	5.56350115651021
SYNRG	11276	1.20587523466592e-17	-1.52326725604875
DIAPH3	81624	1.34946236294341e-17	1.91092967643311
HLA-F///HLA-B	3134///3106	1.40988622459504e-17	-2.70225779257936
		1.40988622459504e-17	3.72489085148073
CCNA2	890	1.42667908376917e-17	2.29715325647279
ORC1	4998	1.49774231108756e-17	1.99692358986622
SPAG5	10615	1.85503787950821e-17	2.00879504296032
MELK	9833	2.40449421786722e-17	2.29731792385714
SUCNR1	56670	2.4171093141974e-17	2.99681551599093
KPNA2	3838	2.61611651230958e-17	1.97053396128345
TBC1D25	4943	2.79387996399621e-17	-1.14441733064512
KIF14	9928	3.1052225556694e-17	2.19593366886508
DDX58	23586	3.19525104155899e-17	-2.31890457755782
HLA-F///HLA-B	3134///3106	3.77432971989801e-17	-3.5597800243424
EPDR1	54749	3.80132024736704e-17	2.39016296317574
FADS1	3992	5.17063560745638e-17	2.78004630070522
ERLIN1	10613	5.18455844894049e-17	2.14276105773923
NPR3	4883	6.45950702073579e-17	3.95660212524944
ATP8B4	79895	8.13501940439083e-17	4.94131554926645
THAP5	168451	8.67845341050796e-17	-1.79293227160771
CDCA4	55038	8.861322621829e-17	1.39988151452268
IL18	3606	9.48463325744451e-17	3.31645985812472
DEPDC1B	55789	1.12399843591017e-16	2.0924736368254
KIF4A	24137	1.16811459125956e-16	2.26831879373243
HNRNPAB	3182	1.37934891283516e-16	1.50203541267687
CLSPN	63967	1.53650124122869e-16	1.90987652663946
LOC81691	81691	1.70265149212186e-16	2.34238707287642
KIF2C	11004	1.72379523689369e-16	1.97681992265307
SHCBP1	79801	1.74820277207331e-16	2.52342777230726
PRSS57	400668	2.23727683340358e-16	2.36865737568594
KIAA1551	55196	2.28963285531267e-16	-2.35586459494558
PATL2	197135	2.38635424154572e-16	-1.80930703638662
CAPRIN1	4076	2.38635424154572e-16	0.948071743549891
CENPU	79682	2.75177586065453e-16	2.13654467118595
NREP	9315	3.04593001538792e-16	3.03882826571656
ZNF211	10520	3.63258108387827e-16	-1.29527315306803
SEPP1	6414	3.68685513002896e-16	3.31207688986281
KIT	3815	3.75987780848763e-16	4.86400851021202
RASSF3	283349	3.83216139739026e-16	-2.32466825160204
CDC6	990	4.16927434939796e-16	2.43377175435601
BRIP1	83990	4.60185420801796e-16	2.23355514603628
TRIP13	9319	4.84476205677797e-16	1.95396211606916
CENPI	2491	4.88980857431566e-16	2.24023758153968
ARSG	22901	5.15725260639659e-16	-2.28866524017233
CCDC169-SOHLH2///CCDC169	100526761///728591	5.89464464417398e-16	2.15551673603742
AZU1	566	5.89464464417398e-16	2.40197318979705
HIST2H2AA4///HIST2H2AB///HIST2H2AC///HIST2H2AA3	723790///317772///8338///8337	5.89464464417398e-16	1.74974611286282
CCNB1	891	7.81400878801994e-16	2.88296874581746
ZWINT	11130	8.61475054085745e-16	1.65462662741723
SPC25	57405	8.69748695413725e-16	2.19639068827098
UHRF1	29128	9.00843404502356e-16	1.98998455168708
RAD51AP1	10635	9.53904994130081e-16	2.23439844010431
BTBD3	22903	9.61248398734797e-16	2.62499377581519
BTN3A1	11119	9.61248398734797e-16	-2.01173447436734
PIWIL4	143689	1.24525596716284e-15	2.49464297530159
SLC22A16	85413	1.61909941453105e-15	2.55296814786622
DLGAP5	9787	1.74912682402224e-15	2.7354726752449
SNTB2	6645	1.78244430951291e-15	-1.86022571342403
TTK	7272	1.93697453298347e-15	2.23504714605669
LINC00324	284029	1.99719633787437e-15	-1.68114106379365
ASPM	259266	2.06051321515109e-15	2.50196107826078
IGF2BP2	10644	2.10622883677919e-15	3.27423061079705
ERG	2078	2.19670528526145e-15	3.71863879951814
BAHCC1	57597	2.34554590221818e-15	1.73834147832314
DNAJB9	4189	2.49222017106812e-15	-1.56944859845124
BMP1	649	2.50629313444017e-15	1.32091746861565
ATAD2	29028	2.92714322412461e-15	1.57632037393198
CDK1	983	3.1198760160842e-15	2.22380094475624
FOXM1	2305	3.24236296988101e-15	1.94159098212698
KIAA0101	9768	3.5240018757264e-15	1.88401066591383
TINF2	26277	3.89347770382971e-15	-0.979884696379822
GNA15	2769	4.15102590890014e-15	3.12382054370749
		4.34566392833159e-15	2.78375587689796
TRPC2	7221	4.34566392833159e-15	1.77405254803968
TUBB	203068	5.51092422435886e-15	1.34036160143765
MSH5-SAPCD1///MSH5	100532732///4439	5.57370454690968e-15	1.64889663204195
NFIX	4784	5.80295432717774e-15	1.77364145945918
MAFG	4097	5.91011924123357e-15	1.83407314553287
CENPJ	55835	6.06337423317252e-15	1.79805713187075
TFRC	7037	6.31639208016978e-15	2.24290492955896
BRCA2	675	7.80857787094069e-15	1.97647687273923
FAH	2184	8.32786895557474e-15	2.08797664166667
SCML4	256380	8.32786895557474e-15	-2.14020081445692
GLTSCR1L	23506	9.56826390917099e-15	-1.32884184800567
TAP1	6890	9.56826390917099e-15	-1.80516211883787
RCC1///SNHG3///RCC1	1104///8420///1104	9.56826390917099e-15	1.50094661580272
TK1	7083	1.10564606749525e-14	1.78384948485034
KIAA0040	9674	1.11991220162056e-14	-2.90610416002608
MAFG	4097	1.12907058337536e-14	1.50112516734921
